what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184586670
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320184591335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184591866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1320184602238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320184605130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184607344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184612275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184616895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184629391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184633009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184648957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184688432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184753033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184757782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184765356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184766108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184766252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184770781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184776828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184777614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320184797524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320184800343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320184802261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320184804835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184806618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184826846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184830245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184834557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184837072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184840780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184846687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320184851190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184854859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184857900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184863668
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184869944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184875096
